,t,strain*1e+21
210,-0.7638,-0.1721
211,-0.7636,-0.1693
212,-0.7633,-0.1664
213,-0.7631,-0.1633
214,-0.7628,-0.1600
215,-0.7626,-0.1566
216,-0.7623,-0.1530
217,-0.7621,-0.1492
218,-0.7619,-0.1454
219,-0.7616,-0.1413
220,-0.7614,-0.1372
221,-0.7611,-0.1329
222,-0.7609,-0.1284
223,-0.7606,-0.1239
224,-0.7604,-0.1192
225,-0.7601,-0.1144
226,-0.7599,-0.1095
227,-0.7597,-0.1044
228,-0.7594,-0.0993
229,-0.7592,-0.0941
230,-0.7589,-0.0887
231,-0.7587,-0.0833
232,-0.7584,-0.0778
233,-0.7582,-0.0723
234,-0.7579,-0.0666
235,-0.7577,-0.0609
236,-0.7575,-0.0551
237,-0.7572,-0.0493
238,-0.7570,-0.0434
239,-0.7567,-0.0375
240,-0.7565,-0.0315
241,-0.7562,-0.0255
242,-0.7560,-0.0195
243,-0.7557,-0.0135
244,-0.7555,-0.0074
245,-0.7553,-0.0013
246,-0.7550,0.0047
247,-0.7548,0.0108
248,-0.7545,0.0169
249,-0.7543,0.0229
250,-0.7540,0.0289
251,-0.7538,0.0349
252,-0.7536,0.0409
253,-0.7533,0.0468
254,-0.7531,0.0527
255,-0.7528,0.0585
256,-0.7526,0.0643
257,-0.7523,0.0700
258,-0.7521,0.0756
259,-0.7518,0.0812
260,-0.7516,0.0867
261,-0.7514,0.0921
262,-0.7511,0.0974
263,-0.7509,0.1026
264,-0.7506,0.1077
265,-0.7504,0.1127
266,-0.7501,0.1176
267,-0.7499,0.1224
268,-0.7496,0.1271
269,-0.7494,0.1316
270,-0.7492,0.1360
271,-0.7489,0.1403
272,-0.7487,0.1444
273,-0.7484,0.1484
274,-0.7482,0.1523
275,-0.7479,0.1560
276,-0.7477,0.1595
277,-0.7474,0.1629
278,-0.7472,0.1661
279,-0.7470,0.1692
280,-0.7467,0.1721
281,-0.7465,0.1748
282,-0.7462,0.1773
283,-0.7460,0.1797
284,-0.7457,0.1819
285,-0.7455,0.1839
286,-0.7453,0.1857
287,-0.7450,0.1874
288,-0.7448,0.1888
289,-0.7445,0.1901
290,-0.7443,0.1911
291,-0.7440,0.1920
292,-0.7438,0.1927
293,-0.7435,0.1932
294,-0.7433,0.1935
295,-0.7431,0.1937
296,-0.7428,0.1936
297,-0.7426,0.1933
298,-0.7423,0.1928
299,-0.7421,0.1922
300,-0.7418,0.1913
301,-0.7416,0.1903
302,-0.7413,0.1890
303,-0.7411,0.1876
304,-0.7409,0.1860
305,-0.7406,0.1842
306,-0.7404,0.1822
307,-0.7401,0.1801
308,-0.7399,0.1777
309,-0.7396,0.1752
310,-0.7394,0.1725
311,-0.7391,0.1696
312,-0.7389,0.1666
313,-0.7387,0.1633
314,-0.7384,0.1600
315,-0.7382,0.1564
316,-0.7379,0.1527
317,-0.7377,0.1489
318,-0.7374,0.1449
319,-0.7372,0.1407
320,-0.7369,0.1364
321,-0.7367,0.1320
322,-0.7365,0.1274
323,-0.7362,0.1227
324,-0.7360,0.1179
325,-0.7357,0.1130
326,-0.7355,0.1079
327,-0.7352,0.1027
328,-0.7350,0.0975
329,-0.7348,0.0921
330,-0.7345,0.0866
331,-0.7343,0.0811
332,-0.7340,0.0755
333,-0.7338,0.0697
334,-0.7335,0.0640
335,-0.7333,0.0581
336,-0.7330,0.0522
337,-0.7328,0.0462
338,-0.7326,0.0402
339,-0.7323,0.0342
340,-0.7321,0.0281
341,-0.7318,0.0219
342,-0.7316,0.0158
343,-0.7313,0.0096
344,-0.7311,0.0035
345,-0.7308,-0.0027
346,-0.7306,-0.0089
347,-0.7304,-0.0151
348,-0.7301,-0.0212
349,-0.7299,-0.0273
350,-0.7296,-0.0335
351,-0.7294,-0.0395
352,-0.7291,-0.0456
353,-0.7289,-0.0516
354,-0.7286,-0.0575
355,-0.7284,-0.0634
356,-0.7282,-0.0692
357,-0.7279,-0.0750
358,-0.7277,-0.0807
359,-0.7274,-0.0863
360,-0.7272,-0.0918
361,-0.7269,-0.0972
362,-0.7267,-0.1025
363,-0.7265,-0.1078
364,-0.7262,-0.1129
365,-0.7260,-0.1179
366,-0.7257,-0.1228
367,-0.7255,-0.1275
368,-0.7252,-0.1322
369,-0.7250,-0.1367
370,-0.7247,-0.1410
371,-0.7245,-0.1452
372,-0.7243,-0.1493
373,-0.7240,-0.1532
374,-0.7238,-0.1570
375,-0.7235,-0.1606
376,-0.7233,-0.1640
377,-0.7230,-0.1673
378,-0.7228,-0.1704
379,-0.7225,-0.1734
380,-0.7223,-0.1761
381,-0.7221,-0.1787
382,-0.7218,-0.1811
383,-0.7216,-0.1833
384,-0.7213,-0.1854
385,-0.7211,-0.1872
386,-0.7208,-0.1889
387,-0.7206,-0.1903
388,-0.7203,-0.1916
389,-0.7201,-0.1927
390,-0.7199,-0.1935
391,-0.7196,-0.1942
392,-0.7194,-0.1947
393,-0.7191,-0.1950
394,-0.7189,-0.1950
395,-0.7186,-0.1949
396,-0.7184,-0.1946
397,-0.7182,-0.1941
398,-0.7179,-0.1934
399,-0.7177,-0.1925
400,-0.7174,-0.1913
401,-0.7172,-0.1900
402,-0.7169,-0.1885
403,-0.7167,-0.1868
404,-0.7164,-0.1850
405,-0.7162,-0.1829
406,-0.7160,-0.1806
407,-0.7157,-0.1782
408,-0.7155,-0.1755
409,-0.7152,-0.1727
410,-0.7150,-0.1697
411,-0.7147,-0.1665
412,-0.7145,-0.1632
413,-0.7142,-0.1597
414,-0.7140,-0.1560
415,-0.7138,-0.1522
416,-0.7135,-0.1482
417,-0.7133,-0.1441
418,-0.7130,-0.1398
419,-0.7128,-0.1353
420,-0.7125,-0.1307
421,-0.7123,-0.1260
422,-0.7120,-0.1212
423,-0.7118,-0.1162
424,-0.7116,-0.1111
425,-0.7113,-0.1059
426,-0.7111,-0.1006
427,-0.7108,-0.0952
428,-0.7106,-0.0896
429,-0.7103,-0.0840
430,-0.7101,-0.0783
431,-0.7099,-0.0725
432,-0.7096,-0.0667
433,-0.7094,-0.0607
434,-0.7091,-0.0547
435,-0.7089,-0.0487
436,-0.7086,-0.0426
437,-0.7084,-0.0364
438,-0.7081,-0.0302
439,-0.7079,-0.0240
440,-0.7077,-0.0178
441,-0.7074,-0.0115
442,-0.7072,-0.0052
443,-0.7069,0.0011
444,-0.7067,0.0074
445,-0.7064,0.0137
446,-0.7062,0.0199
447,-0.7059,0.0262
448,-0.7057,0.0324
449,-0.7055,0.0386
450,-0.7052,0.0448
451,-0.7050,0.0509
452,-0.7047,0.0570
453,-0.7045,0.0630
454,-0.7042,0.0689
455,-0.7040,0.0748
456,-0.7037,0.0806
457,-0.7035,0.0863
458,-0.7033,0.0919
459,-0.7030,0.0975
460,-0.7028,0.1029
461,-0.7025,0.1082
462,-0.7023,0.1134
463,-0.7020,0.1185
464,-0.7018,0.1235
465,-0.7015,0.1284
466,-0.7013,0.1331
467,-0.7011,0.1377
468,-0.7008,0.1421
469,-0.7006,0.1464
470,-0.7003,0.1506
471,-0.7001,0.1545
472,-0.6998,0.1584
473,-0.6996,0.1620
474,-0.6994,0.1655
475,-0.6991,0.1689
476,-0.6989,0.1720
477,-0.6986,0.1750
478,-0.6984,0.1778
479,-0.6981,0.1804
480,-0.6979,0.1828
481,-0.6976,0.1850
482,-0.6974,0.1871
483,-0.6972,0.1889
484,-0.6969,0.1906
485,-0.6967,0.1920
486,-0.6964,0.1932
487,-0.6962,0.1943
488,-0.6959,0.1951
489,-0.6957,0.1958
490,-0.6954,0.1962
491,-0.6952,0.1964
492,-0.6950,0.1965
493,-0.6947,0.1963
494,-0.6945,0.1959
495,-0.6942,0.1953
496,-0.6940,0.1945
497,-0.6937,0.1935
498,-0.6935,0.1923
499,-0.6932,0.1909
500,-0.6930,0.1893
501,-0.6928,0.1875
502,-0.6925,0.1855
503,-0.6923,0.1833
504,-0.6920,0.1809
505,-0.6918,0.1783
506,-0.6915,0.1756
507,-0.6913,0.1726
508,-0.6911,0.1695
509,-0.6908,0.1662
510,-0.6906,0.1627
511,-0.6903,0.1590
512,-0.6901,0.1552
513,-0.6898,0.1512
514,-0.6896,0.1471
515,-0.6893,0.1428
516,-0.6891,0.1383
517,-0.6889,0.1337
518,-0.6886,0.1290
519,-0.6884,0.1241
520,-0.6881,0.1191
521,-0.6879,0.1139
522,-0.6876,0.1087
523,-0.6874,0.1033
524,-0.6871,0.0978
525,-0.6869,0.0922
526,-0.6867,0.0865
527,-0.6864,0.0807
528,-0.6862,0.0749
529,-0.6859,0.0689
530,-0.6857,0.0629
531,-0.6854,0.0568
532,-0.6852,0.0507
533,-0.6849,0.0444
534,-0.6847,0.0382
535,-0.6845,0.0319
536,-0.6842,0.0255
537,-0.6840,0.0192
538,-0.6837,0.0128
539,-0.6835,0.0064
540,-0.6832,-0.0000
541,-0.6830,-0.0064
542,-0.6828,-0.0128
543,-0.6825,-0.0192
544,-0.6823,-0.0256
545,-0.6820,-0.0320
546,-0.6818,-0.0383
547,-0.6815,-0.0445
548,-0.6813,-0.0508
549,-0.6810,-0.0570
550,-0.6808,-0.0631
551,-0.6806,-0.0691
552,-0.6803,-0.0751
553,-0.6801,-0.0810
554,-0.6798,-0.0869
555,-0.6796,-0.0926
556,-0.6793,-0.0982
557,-0.6791,-0.1038
558,-0.6788,-0.1092
559,-0.6786,-0.1145
560,-0.6784,-0.1197
561,-0.6781,-0.1248
562,-0.6779,-0.1297
563,-0.6776,-0.1345
564,-0.6774,-0.1392
565,-0.6771,-0.1437
566,-0.6769,-0.1480
567,-0.6766,-0.1522
568,-0.6764,-0.1563
569,-0.6762,-0.1601
570,-0.6759,-0.1638
571,-0.6757,-0.1674
572,-0.6754,-0.1707
573,-0.6752,-0.1739
574,-0.6749,-0.1769
575,-0.6747,-0.1797
576,-0.6744,-0.1823
577,-0.6742,-0.1847
578,-0.6740,-0.1869
579,-0.6737,-0.1890
580,-0.6735,-0.1908
581,-0.6732,-0.1924
582,-0.6730,-0.1938
583,-0.6727,-0.1950
584,-0.6725,-0.1960
585,-0.6723,-0.1968
586,-0.6720,-0.1974
587,-0.6718,-0.1978
588,-0.6715,-0.1979
589,-0.6713,-0.1979
590,-0.6710,-0.1976
591,-0.6708,-0.1971
592,-0.6705,-0.1964
593,-0.6703,-0.1955
594,-0.6701,-0.1944
595,-0.6698,-0.1931
596,-0.6696,-0.1916
597,-0.6693,-0.1899
598,-0.6691,-0.1879
599,-0.6688,-0.1858
600,-0.6686,-0.1835
601,-0.6683,-0.1809
602,-0.6681,-0.1782
603,-0.6679,-0.1753
604,-0.6676,-0.1722
605,-0.6674,-0.1689
606,-0.6671,-0.1654
607,-0.6669,-0.1618
608,-0.6666,-0.1579
609,-0.6664,-0.1539
610,-0.6661,-0.1498
611,-0.6659,-0.1454
612,-0.6657,-0.1410
613,-0.6654,-0.1363
614,-0.6652,-0.1315
615,-0.6649,-0.1266
616,-0.6647,-0.1215
617,-0.6644,-0.1163
618,-0.6642,-0.1110
619,-0.6640,-0.1056
620,-0.6637,-0.1000
621,-0.6635,-0.0943
622,-0.6632,-0.0886
623,-0.6630,-0.0827
624,-0.6627,-0.0767
625,-0.6625,-0.0707
626,-0.6622,-0.0646
627,-0.6620,-0.0584
628,-0.6618,-0.0521
629,-0.6615,-0.0458
630,-0.6613,-0.0394
631,-0.6610,-0.0330
632,-0.6608,-0.0266
633,-0.6605,-0.0201
634,-0.6603,-0.0136
635,-0.6600,-0.0071
636,-0.6598,-0.0005
637,-0.6596,0.0060
638,-0.6593,0.0125
639,-0.6591,0.0190
640,-0.6588,0.0255
641,-0.6586,0.0320
642,-0.6583,0.0384
643,-0.6581,0.0448
644,-0.6578,0.0512
645,-0.6576,0.0575
646,-0.6574,0.0637
647,-0.6571,0.0699
648,-0.6569,0.0760
649,-0.6566,0.0820
650,-0.6564,0.0879
651,-0.6561,0.0938
652,-0.6559,0.0995
653,-0.6557,0.1051
654,-0.6554,0.1106
655,-0.6552,0.1160
656,-0.6549,0.1213
657,-0.6547,0.1265
658,-0.6544,0.1315
659,-0.6542,0.1363
660,-0.6539,0.1410
661,-0.6537,0.1456
662,-0.6535,0.1500
663,-0.6532,0.1543
664,-0.6530,0.1583
665,-0.6527,0.1622
666,-0.6525,0.1660
667,-0.6522,0.1695
668,-0.6520,0.1729
669,-0.6517,0.1761
670,-0.6515,0.1791
671,-0.6513,0.1819
672,-0.6510,0.1845
673,-0.6508,0.1869
674,-0.6505,0.1891
675,-0.6503,0.1911
676,-0.6500,0.1928
677,-0.6498,0.1944
678,-0.6495,0.1958
679,-0.6493,0.1969
680,-0.6491,0.1978
681,-0.6488,0.1986
682,-0.6486,0.1991
683,-0.6483,0.1993
684,-0.6481,0.1994
685,-0.6478,0.1992
686,-0.6476,0.1989
687,-0.6474,0.1983
688,-0.6471,0.1975
689,-0.6469,0.1965
690,-0.6466,0.1952
691,-0.6464,0.1938
692,-0.6461,0.1921
693,-0.6459,0.1902
694,-0.6456,0.1881
695,-0.6454,0.1858
696,-0.6452,0.1833
697,-0.6449,0.1806
698,-0.6447,0.1777
699,-0.6444,0.1747
700,-0.6442,0.1714
701,-0.6439,0.1679
702,-0.6437,0.1642
703,-0.6434,0.1604
704,-0.6432,0.1564
705,-0.6430,0.1522
706,-0.6427,0.1478
707,-0.6425,0.1433
708,-0.6422,0.1386
709,-0.6420,0.1338
710,-0.6417,0.1288
711,-0.6415,0.1237
712,-0.6412,0.1184
713,-0.6410,0.1130
714,-0.6408,0.1075
715,-0.6405,0.1018
716,-0.6403,0.0961
717,-0.6400,0.0902
718,-0.6398,0.0842
719,-0.6395,0.0782
720,-0.6393,0.0720
721,-0.6390,0.0658
722,-0.6388,0.0595
723,-0.6386,0.0531
724,-0.6383,0.0467
725,-0.6381,0.0402
726,-0.6378,0.0337
727,-0.6376,0.0271
728,-0.6373,0.0205
729,-0.6371,0.0139
730,-0.6369,0.0072
731,-0.6366,0.0006
732,-0.6364,-0.0061
733,-0.6361,-0.0127
734,-0.6359,-0.0194
735,-0.6356,-0.0260
736,-0.6354,-0.0326
737,-0.6351,-0.0391
738,-0.6349,-0.0457
739,-0.6347,-0.0521
740,-0.6344,-0.0585
741,-0.6342,-0.0649
742,-0.6339,-0.0712
743,-0.6337,-0.0774
744,-0.6334,-0.0835
745,-0.6332,-0.0895
746,-0.6329,-0.0954
747,-0.6327,-0.1013
748,-0.6325,-0.1070
749,-0.6322,-0.1126
750,-0.6320,-0.1181
751,-0.6317,-0.1234
752,-0.6315,-0.1286
753,-0.6312,-0.1337
754,-0.6310,-0.1386
755,-0.6307,-0.1434
756,-0.6305,-0.1480
757,-0.6303,-0.1524
758,-0.6300,-0.1567
759,-0.6298,-0.1608
760,-0.6295,-0.1647
761,-0.6293,-0.1685
762,-0.6290,-0.1720
763,-0.6288,-0.1754
764,-0.6286,-0.1786
765,-0.6283,-0.1815
766,-0.6281,-0.1843
767,-0.6278,-0.1869
768,-0.6276,-0.1892
769,-0.6273,-0.1914
770,-0.6271,-0.1933
771,-0.6268,-0.1950
772,-0.6266,-0.1965
773,-0.6264,-0.1978
774,-0.6261,-0.1989
775,-0.6259,-0.1997
776,-0.6256,-0.2003
777,-0.6254,-0.2007
778,-0.6251,-0.2009
779,-0.6249,-0.2009
780,-0.6246,-0.2006
781,-0.6244,-0.2001
782,-0.6242,-0.1993
783,-0.6239,-0.1984
784,-0.6237,-0.1972
785,-0.6234,-0.1958
786,-0.6232,-0.1942
787,-0.6229,-0.1924
788,-0.6227,-0.1903
789,-0.6224,-0.1880
790,-0.6222,-0.1856
791,-0.6220,-0.1829
792,-0.6217,-0.1800
793,-0.6215,-0.1769
794,-0.6212,-0.1736
795,-0.6210,-0.1701
796,-0.6207,-0.1664
797,-0.6205,-0.1626
798,-0.6203,-0.1585
799,-0.6200,-0.1543
800,-0.6198,-0.1499
801,-0.6195,-0.1453
802,-0.6193,-0.1405
803,-0.6190,-0.1356
804,-0.6188,-0.1306
805,-0.6185,-0.1254
806,-0.6183,-0.1200
807,-0.6181,-0.1145
808,-0.6178,-0.1089
809,-0.6176,-0.1032
810,-0.6173,-0.0973
811,-0.6171,-0.0913
812,-0.6168,-0.0853
813,-0.6166,-0.0791
814,-0.6163,-0.0728
815,-0.6161,-0.0665
816,-0.6159,-0.0601
817,-0.6156,-0.0536
818,-0.6154,-0.0470
819,-0.6151,-0.0404
820,-0.6149,-0.0337
821,-0.6146,-0.0270
822,-0.6144,-0.0203
823,-0.6141,-0.0135
824,-0.6139,-0.0068
825,-0.6137,0.0000
826,-0.6134,0.0068
827,-0.6132,0.0136
828,-0.6129,0.0204
829,-0.6127,0.0271
830,-0.6124,0.0338
831,-0.6122,0.0405
832,-0.6119,0.0472
833,-0.6117,0.0537
834,-0.6115,0.0603
835,-0.6112,0.0667
836,-0.6110,0.0731
837,-0.6107,0.0794
838,-0.6105,0.0856
839,-0.6102,0.0918
840,-0.6100,0.0978
841,-0.6098,0.1037
842,-0.6095,0.1095
843,-0.6093,0.1152
844,-0.6090,0.1207
845,-0.6088,0.1261
846,-0.6085,0.1314
847,-0.6083,0.1365
848,-0.6080,0.1415
849,-0.6078,0.1463
850,-0.6076,0.1509
851,-0.6073,0.1554
852,-0.6071,0.1597
853,-0.6068,0.1638
854,-0.6066,0.1677
855,-0.6063,0.1714
856,-0.6061,0.1750
857,-0.6058,0.1783
858,-0.6056,0.1814
859,-0.6054,0.1844
860,-0.6051,0.1871
861,-0.6049,0.1896
862,-0.6046,0.1919
863,-0.6044,0.1940
864,-0.6041,0.1958
865,-0.6039,0.1975
866,-0.6036,0.1989
867,-0.6034,0.2001
868,-0.6032,0.2010
869,-0.6029,0.2017
870,-0.6027,0.2022
871,-0.6024,0.2025
872,-0.6022,0.2025
873,-0.6019,0.2023
874,-0.6017,0.2018
875,-0.6015,0.2012
876,-0.6012,0.2003
877,-0.6010,0.1991
878,-0.6007,0.1978
879,-0.6005,0.1962
880,-0.6002,0.1944
881,-0.6000,0.1923
882,-0.5997,0.1901
883,-0.5995,0.1876
884,-0.5993,0.1849
885,-0.5990,0.1820
886,-0.5988,0.1789
887,-0.5985,0.1755
888,-0.5983,0.1720
889,-0.5980,0.1683
890,-0.5978,0.1644
891,-0.5975,0.1602
892,-0.5973,0.1559
893,-0.5971,0.1515
894,-0.5968,0.1468
895,-0.5966,0.1420
896,-0.5963,0.1370
897,-0.5961,0.1318
898,-0.5958,0.1265
899,-0.5956,0.1211
900,-0.5953,0.1155
901,-0.5951,0.1097
902,-0.5949,0.1039
903,-0.5946,0.0979
904,-0.5944,0.0918
905,-0.5941,0.0856
906,-0.5939,0.0793
907,-0.5936,0.0729
908,-0.5934,0.0664
909,-0.5932,0.0598
910,-0.5929,0.0532
911,-0.5927,0.0465
912,-0.5924,0.0398
913,-0.5922,0.0330
914,-0.5919,0.0261
915,-0.5917,0.0192
916,-0.5914,0.0123
917,-0.5912,0.0054
918,-0.5910,-0.0015
919,-0.5907,-0.0084
920,-0.5905,-0.0154
921,-0.5902,-0.0223
922,-0.5900,-0.0291
923,-0.5897,-0.0360
924,-0.5895,-0.0428
925,-0.5892,-0.0496
926,-0.5890,-0.0563
927,-0.5888,-0.0629
928,-0.5885,-0.0695
929,-0.5883,-0.0760
930,-0.5880,-0.0824
931,-0.5878,-0.0887
932,-0.5875,-0.0949
933,-0.5873,-0.1010
934,-0.5870,-0.1070
935,-0.5868,-0.1128
936,-0.5866,-0.1186
937,-0.5863,-0.1242
938,-0.5861,-0.1296
939,-0.5858,-0.1349
940,-0.5856,-0.1401
941,-0.5853,-0.1451
942,-0.5851,-0.1499
943,-0.5849,-0.1545
944,-0.5846,-0.1590
945,-0.5844,-0.1633
946,-0.5841,-0.1674
947,-0.5839,-0.1713
948,-0.5836,-0.1750
949,-0.5834,-0.1785
950,-0.5831,-0.1817
951,-0.5829,-0.1848
952,-0.5827,-0.1877
953,-0.5824,-0.1903
954,-0.5822,-0.1927
955,-0.5819,-0.1949
956,-0.5817,-0.1969
957,-0.5814,-0.1986
958,-0.5812,-0.2001
959,-0.5809,-0.2014
960,-0.5807,-0.2024
961,-0.5805,-0.2032
962,-0.5802,-0.2038
963,-0.5800,-0.2041
964,-0.5797,-0.2042
965,-0.5795,-0.2040
966,-0.5792,-0.2036
967,-0.5790,-0.2030
968,-0.5787,-0.2021
969,-0.5785,-0.2010
970,-0.5783,-0.1996
971,-0.5780,-0.1980
972,-0.5778,-0.1962
973,-0.5775,-0.1941
974,-0.5773,-0.1918
975,-0.5770,-0.1893
976,-0.5768,-0.1866
977,-0.5765,-0.1836
978,-0.5763,-0.1805
979,-0.5761,-0.1771
980,-0.5758,-0.1735
981,-0.5756,-0.1697
982,-0.5753,-0.1657
983,-0.5751,-0.1614
984,-0.5748,-0.1571
985,-0.5746,-0.1525
986,-0.5744,-0.1477
987,-0.5741,-0.1428
988,-0.5739,-0.1376
989,-0.5736,-0.1324
990,-0.5734,-0.1269
991,-0.5731,-0.1213
992,-0.5729,-0.1156
993,-0.5726,-0.1097
994,-0.5724,-0.1037
995,-0.5722,-0.0976
996,-0.5719,-0.0914
997,-0.5717,-0.0850
998,-0.5714,-0.0785
999,-0.5712,-0.0720
1000,-0.5709,-0.0654
1001,-0.5707,-0.0586
1002,-0.5704,-0.0518
1003,-0.5702,-0.0450
1004,-0.5700,-0.0381
1005,-0.5697,-0.0311
1006,-0.5695,-0.0241
1007,-0.5692,-0.0171
1008,-0.5690,-0.0100
1009,-0.5687,-0.0029
1010,-0.5685,0.0041
1011,-0.5682,0.0112
1012,-0.5680,0.0183
1013,-0.5678,0.0253
1014,-0.5675,0.0323
1015,-0.5673,0.0393
1016,-0.5670,0.0462
1017,-0.5668,0.0531
1018,-0.5665,0.0599
1019,-0.5663,0.0667
1020,-0.5661,0.0733
1021,-0.5658,0.0799
1022,-0.5656,0.0864
1023,-0.5653,0.0928
1024,-0.5651,0.0991
1025,-0.5648,0.1053
1026,-0.5646,0.1113
1027,-0.5643,0.1172
1028,-0.5641,0.1230
1029,-0.5639,0.1286
1030,-0.5636,0.1341
1031,-0.5634,0.1394
